"Page","Avg.","Min","Max","SD","TP"
"Home",460.58,382,1461,150.30723955494,5.97725058427624
"Gaming",187.825,155,859,94.3054255657607,4.78479869454742
"Τεχνολογία",173.12,155,261,18.128765021703,5.96432735807138
"Κινητή Τηλεφωνία",203.55,160,702,118.564872316249,2.38916751448931
"Game Cards",877.2625,809,1432,92.6057033744054,4.78571464179424
"Κινητά Τηλέφωνα",1631.05,1474,2054,151.668778662758,2.3867677595411
"Riot League of Legends Pre-Paid Card 10 Euro (1380RP)",1123.3625,994,2180,194.244218182854,4.77053242123404
"Xiaomi Redmi Note 9 (128GB) Midnight Gray",1236.95,1105,1565,130.124424261834,2.35544441347471
"Blizzard World Of Warcraft 60 Day Prepaid Card PC",1204.4875,1074,2208,180.946316519639,4.76475037671308
"Huawei P40 Lite (128GB) Midnight Black",1158.85,1029,1623,168.471542185367,2.36239539017913
"Samsung Galaxy A51 (128GB) Prism Crush Black",1344.85,1122,2249,256.379914436205,2.37001925640646
"EA - Electronic Arts FIFA 15 Ultimate Team 2200 Points PC",1128.2875,954,2149,174.242897082046,4.759916741123
"OnePlus Nord N100 (64GB) Midnight Frost",1709.35,1573,2244,151.751276765634,2.36049011643118
"TOTAL",792.722222222222,155,2249,494.726468649353,36.3200095508173
